"district","county","year","sex","grade_level","number_overweight","percent_overweight","number_obese","percent_obese","number_overweight_or_obese","percent_overweight_or_obese","number_healthy_weight","percent_healthy_weight","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis","num_free_lunch","num_reduced_lunch"
10500,"ALBANY",2014,"FEMALE","MIDDLE/HIGH",16,16.5,26,26.8,42,43.3,55,0.567,17,162,121,5,1457,900,952,28,90,272,1271,1107,129
10500,"ALBANY",2012,"FEMALE","MIDDLE/HIGH",16,16.5,26,26.8,42,43.3,55,0.567,23,161,104,2,1524,919,965,32,70,255,1225,943,181
10500,"ALBANY",2016,"FEMALE","MIDDLE/HIGH",16,16.5,26,26.8,42,43.3,55,0.567,24,168,153,5,1445,923,975,27,103,304,1236,1148,48
10500,"ALBANY",2013,"FEMALE","MIDDLE/HIGH",16,16.5,26,26.8,42,43.3,55,0.567,23,167,115,3,1527,919,983,34,67,270,1296,1003,156
10500,"ALBANY",2015,"MALE","MIDDLE/HIGH",7,7.1,32,32.3,39,39.4,60,0.606,19,164,133,5,1443,910,951,25,97,282,1271,1097,94
10500,"ALBANY",2017,"MALE","MIDDLE/HIGH",7,7.1,32,32.3,39,39.4,60,0.606,28,184,178,4,1489,991,1031,20,139,318,1336,1149,72
10500,"ALBANY",2014,"MALE","MIDDLE/HIGH",7,7.1,32,32.3,39,39.4,60,0.606,17,162,121,5,1457,900,952,28,90,272,1271,1107,129
10500,"ALBANY",2012,"MALE","MIDDLE/HIGH",7,7.1,32,32.3,39,39.4,60,0.606,23,161,104,2,1524,919,965,32,70,255,1225,943,181
10500,"ALBANY",2016,"MALE","MIDDLE/HIGH",7,7.1,32,32.3,39,39.4,60,0.606,24,168,153,5,1445,923,975,27,103,304,1236,1148,48
10500,"ALBANY",2013,"MALE","MIDDLE/HIGH",7,7.1,32,32.3,39,39.4,60,0.606,23,167,115,3,1527,919,983,34,67,270,1296,1003,156
10601,"ALBANY",2014,"FEMALE","ELEMENTARY",84,19,56,12.6,140,31.6,286,0.646,426,339,337,7,3442,2358,2433,94,240,681,1317,899,176
10601,"ALBANY",2015,"FEMALE","ELEMENTARY",84,19,56,12.6,140,31.6,286,0.646,442,319,356,4,3328,2331,2403,106,285,675,1399,937,137
10601,"ALBANY",2012,"FEMALE","ELEMENTARY",84,19,56,12.6,140,31.6,286,0.646,387,354,297,4,3729,2410,2550,72,189,622,1155,811,218
10601,"ALBANY",2016,"FEMALE","ELEMENTARY",84,19,56,12.6,140,31.6,286,0.646,463,327,349,3,3283,2369,2376,136,320,728,1418,866,94
10601,"ALBANY",2013,"FEMALE","ELEMENTARY",84,19,56,12.6,140,31.6,286,0.646,408,351,310,7,3565,2403,2458,86,220,668,1237,847,262
10601,"ALBANY",2017,"FEMALE","ELEMENTARY",84,19,56,12.6,140,31.6,286,0.646,495,360,363,4,3258,2413,2420,122,353,736,1723,1354,193
10601,"ALBANY",2014,"MALE","ELEMENTARY",73,16.7,77,17.6,150,34.3,272,0.622,426,339,337,7,3442,2358,2433,94,240,681,1317,899,176
10601,"ALBANY",2015,"MALE","ELEMENTARY",73,16.7,77,17.6,150,34.3,272,0.622,442,319,356,4,3328,2331,2403,106,285,675,1399,937,137
10601,"ALBANY",2012,"MALE","ELEMENTARY",73,16.7,77,17.6,150,34.3,272,0.622,387,354,297,4,3729,2410,2550,72,189,622,1155,811,218
10601,"ALBANY",2016,"MALE","ELEMENTARY",73,16.7,77,17.6,150,34.3,272,0.622,463,327,349,3,3283,2369,2376,136,320,728,1418,866,94
10601,"ALBANY",2013,"MALE","ELEMENTARY",73,16.7,77,17.6,150,34.3,272,0.622,408,351,310,7,3565,2403,2458,86,220,668,1237,847,262
10601,"ALBANY",2017,"MALE","ELEMENTARY",73,16.7,77,17.6,150,34.3,272,0.622,495,360,363,4,3258,2413,2420,122,353,736,1723,1354,193
10601,"ALBANY",2014,"FEMALE","MIDDLE/HIGH",84,20.4,61,14.8,145,35.3,253,0.616,426,339,337,7,3442,2358,2433,94,240,681,1317,899,176
10601,"ALBANY",2015,"FEMALE","MIDDLE/HIGH",84,20.4,61,14.8,145,35.3,253,0.616,442,319,356,4,3328,2331,2403,106,285,675,1399,937,137
10601,"ALBANY",2012,"FEMALE","MIDDLE/HIGH",84,20.4,61,14.8,145,35.3,253,0.616,387,354,297,4,3729,2410,2550,72,189,622,1155,811,218
10601,"ALBANY",2016,"FEMALE","MIDDLE/HIGH",84,20.4,61,14.8,145,35.3,253,0.616,463,327,349,3,3283,2369,2376,136,320,728,1418,866,94
10601,"ALBANY",2013,"FEMALE","MIDDLE/HIGH",84,20.4,61,14.8,145,35.3,253,0.616,408,351,310,7,3565,2403,2458,86,220,668,1237,847,262
10601,"ALBANY",2017,"FEMALE","MIDDLE/HIGH",84,20.4,61,14.8,145,35.3,253,0.616,495,360,363,4,3258,2413,2420,122,353,736,1723,1354,193
10601,"ALBANY",2014,"MALE","MIDDLE/HIGH",86,20.8,40,9.7,126,30.4,269,0.65,426,339,337,7,3442,2358,2433,94,240,681,1317,899,176
10601,"ALBANY",2015,"MALE","MIDDLE/HIGH",86,20.8,40,9.7,126,30.4,269,0.65,442,319,356,4,3328,2331,2403,106,285,675,1399,937,137
10601,"ALBANY",2012,"MALE","MIDDLE/HIGH",86,20.8,40,9.7,126,30.4,269,0.65,387,354,297,4,3729,2410,2550,72,189,622,1155,811,218
10601,"ALBANY",2016,"MALE","MIDDLE/HIGH",86,20.8,40,9.7,126,30.4,269,0.65,463,327,349,3,3283,2369,2376,136,320,728,1418,866,94
