"district","county","number_overweight","percent_overweight","number_obese","percent_obese","number_overweight_or_obese","percent_overweight_or_obese","grade_level","number_healthy_weight","percent_healthy_weight","sex","year","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis"
140207,"ERIE",46,13,51,14.4,97,27.3,"ELEMENTARY",245,0.69,"FEMALE",2019,262,666,171,6,2115,1587,1797,135,164,338,1730
140207,"ERIE",66,15.9,60,14.5,126,30.4,"ELEMENTARY",272,0.657,"MALE",2019,262,666,171,6,2115,1587,1797,135,164,338,1730
140207,"ERIE",28,12.6,47,21.1,75,33.6,"MIDDLE/HIGH",148,0.664,"FEMALE",2019,262,666,171,6,2115,1587,1797,135,164,338,1730
140207,"ERIE",38,14.6,71,27.3,109,41.9,"MIDDLE/HIGH",146,0.562,"MALE",2019,262,666,171,6,2115,1587,1797,135,164,338,1730
140701,"ERIE",42,16.3,43,16.7,85,32.9,"ELEMENTARY",166,0.643,"FEMALE",2019,157,843,201,7,914,1105,1178,0,161,343,1508
140701,"ERIE",48,19.4,44,17.7,92,37.1,"ELEMENTARY",156,0.629,"MALE",2019,157,843,201,7,914,1105,1178,0,161,343,1508
140701,"ERIE",29,18.8,45,29.2,74,48.1,"MIDDLE/HIGH",80,0.519,"FEMALE",2019,157,843,201,7,914,1105,1178,0,161,343,1508
140701,"ERIE",21,12.1,46,26.4,67,38.5,"MIDDLE/HIGH",100,0.575,"MALE",2019,157,843,201,7,914,1105,1178,0,161,343,1508
141101,"ERIE",21,16.3,33,25.6,54,41.9,"MIDDLE/HIGH",75,0.581,"MALE",2019,10,6,37,13,1613,833,873,5,27,207,606
141101,"ERIE",32,16.5,16,8.2,48,24.7,"ELEMENTARY",146,0.753,"FEMALE",2019,10,6,37,13,1613,833,873,5,27,207,606
141101,"ERIE",34,17.3,33,16.8,67,34,"ELEMENTARY",125,0.635,"MALE",2019,10,6,37,13,1613,833,873,5,27,207,606
141101,"ERIE",18,14.2,27,21.3,45,35.4,"MIDDLE/HIGH",82,0.646,"FEMALE",2019,10,6,37,13,1613,833,873,5,27,207,606
141401,"ERIE",21,14.1,24,16.1,45,30.2,"ELEMENTARY",95,0.638,"MALE",2019,12,17,82,324,1736,1086,1156,1,71,436,1166
141401,"ERIE",27,18.1,12,8.1,39,26.2,"ELEMENTARY",103,0.691,"FEMALE",2019,12,17,82,324,1736,1086,1156,1,71,436,1166
141401,"ERIE",18,16.8,11,10.3,29,27.1,"MIDDLE/HIGH",78,0.729,"FEMALE",2019,12,17,82,324,1736,1086,1156,1,71,436,1166
141401,"ERIE",20,19.2,12,11.5,32,30.8,"MIDDLE/HIGH",72,0.692,"MALE",2019,12,17,82,324,1736,1086,1156,1,71,436,1166
141501,"ERIE",37,13.5,28,10.2,65,23.6,"ELEMENTARY",193,0.702,"FEMALE",2019,102,48,142,11,2466,1431,1481,46,143,364,711
141501,"ERIE",44,15.2,37,12.8,81,27.9,"ELEMENTARY",199,0.686,"MALE",2019,102,48,142,11,2466,1431,1481,46,143,364,711
141501,"ERIE",40,23.5,24,14.1,64,37.6,"MIDDLE/HIGH",106,0.624,"FEMALE",2019,102,48,142,11,2466,1431,1481,46,143,364,711
141501,"ERIE",27,13.5,41,20.5,68,34,"MIDDLE/HIGH",124,0.62,"MALE",2019,102,48,142,11,2466,1431,1481,46,143,364,711
141601,"ERIE",46,19,26,10.7,72,29.8,"ELEMENTARY",163,0.674,"FEMALE",2019,29,35,90,9,3225,1754,1721,8,87,566,855
141601,"ERIE",40,14.5,38,13.8,78,28.3,"ELEMENTARY",184,0.667,"MALE",2019,29,35,90,9,3225,1754,1721,8,87,566,855
141601,"ERIE",21,13.5,22,14.2,43,27.7,"MIDDLE/HIGH",107,0.69,"FEMALE",2019,29,35,90,9,3225,1754,1721,8,87,566,855
141601,"ERIE",15,11.3,15,11.3,30,22.6,"MIDDLE/HIGH",98,0.737,"MALE",2019,29,35,90,9,3225,1754,1721,8,87,566,855
141604,"ERIE",56,17.7,52,16.4,108,34.1,"MIDDLE/HIGH",209,0.659,"FEMALE",2019,58,52,250,13,4199,2330,2423,39,181,783,1471
141604,"ERIE",75,13.4,79,14.2,154,27.6,"ELEMENTARY",381,0.683,"FEMALE",2019,58,52,250,13,4199,2330,2423,39,181,783,1471
141604,"ERIE",74,13.8,62,11.5,136,25.3,"ELEMENTARY",385,0.717,"MALE",2019,58,52,250,13,4199,2330,2423,39,181,783,1471
141604,"ERIE",53,17.7,44,14.7,97,32.3,"MIDDLE/HIGH",191,0.637,"MALE",2019,58,52,250,13,4199,2330,2423,39,181,783,1471
141800,"ERIE",44,20.3,33,15.2,77,35.5,"ELEMENTARY",131,0.604,"FEMALE",2019,52,289,269,9,1279,956,1021,334,79,353,1542
141800,"ERIE",37,11.9,57,18.4,94,30.3,"ELEMENTARY",200,0.645,"MALE",2019,52,289,269,9,1279,956,1021,334,79,353,1542
141800,"ERIE",19,20.7,16,17.4,35,38,"MIDDLE/HIGH",57,0.62,"FEMALE",2019,52,289,269,9,1279,956,1021,334,79,353,1542
141800,"ERIE",20,19.6,19,18.6,39,38.2,"MIDDLE/HIGH",63,0.618,"MALE",2019,52,289,269,9,1279,956,1021,334,79,353,1542
141901,"ERIE",86,16.8,48,9.4,134,26.1,"ELEMENTARY",361,0.704,"FEMALE",2019,102,66,181,12,5270,2830,2940,47,139,941,1095
141901,"ERIE",96,17,66,11.7,162,28.6,"ELEMENTARY",391,0.691,"MALE",2019,102,66,181,12,5270,2830,2940,47,139,941,1095
141901,"ERIE",76,19.6,54,13.9,130,33.5,"MIDDLE/HIGH",248,0.639,"FEMALE",2019,102,66,181,12,5270,2830,2940,47,139,941,1095
141901,"ERIE",52,12.1,82,19,134,31.1,"MIDDLE/HIGH",283,0.657,"MALE",2019,102,66,181,12,5270,2830,2940,47,139,941,1095
142101,"ERIE",12,10.4,31,27,43,37.4,"MIDDLE/HIGH",72,0.626,"MALE",2019,5,7,15,167,1140,691,695,6,52,163,582
142101,"ERIE",34,26,5,3.8,39,29.8,"ELEMENTARY",92,0.702,"FEMALE",2019,5,7,15,167,1140,691,695,6,52,163,582
142101,"ERIE",47,32.2,7,4.8,54,37,"ELEMENTARY",92,0.63,"MALE",2019,5,7,15,167,1140,691,695,6,52,163,582
142101,"ERIE",21,19.8,16,15.1,37,34.9,"MIDDLE/HIGH",69,0.651,"FEMALE",2019,5,7,15,167,1140,691,695,6,52,163,582
142301,"ERIE",72,16.3,36,8.1,108,24.4,"ELEMENTARY",321,0.725,"FEMALE",2019,80,43,112,1,4398,2371,2379,26,116,710,679
142301,"ERIE",42,8.7,63,13,105,21.7,"ELEMENTARY",366,0.758,"MALE",2019,80,43,112,1,4398,2371,2379,26,116,710,679
142301,"ERIE",38,11.8,37,11.5,75,23.3,"MIDDLE/HIGH",241,0.748,"FEMALE",2019,80,43,112,1,4398,2371,2379,26,116,710,679
142301,"ERIE",45,15.2,35,11.8,80,26.9,"MIDDLE/HIGH",202,0.68,"MALE",2019,80,43,112,1,4398,2371,2379,26,116,710,679
142601,"ERIE",156,16.5,140,14.8,296,31.2,"ELEMENTARY",621,0.655,"FEMALE",2019,222,511,620,35,5088,3404,3490,207,418,1250,3397
142601,"ERIE",135,15.1,160,17.9,295,33,"ELEMENTARY",560,0.626,"MALE",2019,222,511,620,35,5088,3404,3490,207,418,1250,3397
142601,"ERIE",93,22.6,82,20,175,42.6,"MIDDLE/HIGH",229,0.557,"FEMALE",2019,222,511,620,35,5088,3404,3490,207,418,1250,3397
142601,"ERIE",63,16.4,90,23.4,153,39.7,"MIDDLE/HIGH",216,0.561,"MALE",2019,222,511,620,35,5088,3404,3490,207,418,1250,3397
160101,"FRANKLIN",24,24.7,30,30.9,54,55.7,"ELEMENTARY",43,0.443,"FEMALE",2019,4,1,14,3,706,369,380,0,21,119,380
160101,"FRANKLIN",21,19.4,27,25,48,44.4,"ELEMENTARY",60,0.556,"MALE",2019,4,1,14,3,706,369,380,0,21,119,380
160101,"FRANKLIN",7,13.7,15,29.4,22,43.1,"MIDDLE/HIGH",29,0.569,"FEMALE",2019,4,1,14,3,706,369,380,0,21,119,380
160101,"FRANKLIN",9,18,16,32,25,50,"MIDDLE/HIGH",25,0.5,"MALE",2019,4,1,14,3,706,369,380,0,21,119,380
161201,"FRANKLIN",30,16,52,27.8,82,43.9,"ELEMENTARY",105,0.561,"FEMALE",2019,1,1,34,869,475,724,731,0,75,209,1089
161201,"FRANKLIN",36,17.8,51,25.2,87,43.1,"ELEMENTARY",115,0.569,"MALE",2019,1,1,34,869,475,724,731,0,75,209,1089
161201,"FRANKLIN",20,22.7,28,31.8,48,54.5,"MIDDLE/HIGH",40,0.455,"FEMALE",2019,1,1,34,869,475,724,731,0,75,209,1089
161201,"FRANKLIN",18,18,39,39,57,57,"MIDDLE/HIGH",43,0.43,"MALE",2019,1,1,34,869,475,724,731,0,75,209,1089
170600,"FULTON",24,22.9,10,9.5,34,32.4,"ELEMENTARY",71,0.676,"FEMALE",2019,17,12,61,3,1424,729,821,11,33,183,783
170600,"FULTON",18,14.2,20,15.7,38,29.9,"ELEMENTARY",83,0.654,"MALE",2019,17,12,61,3,1424,729,821,11,33,183,783
170600,"FULTON",17,26.6,13,20.3,30,46.9,"MIDDLE/HIGH",34,0.531,"FEMALE",2019,17,12,61,3,1424,729,821,11,33,183,783
170600,"FULTON",7,11.5,14,23,21,34.4,"MIDDLE/HIGH",40,0.656,"MALE",2019,17,12,61,3,1424,729,821,11,33,183,783
180300,"GENESEE",36,14.3,55,21.8,91,36.1,"ELEMENTARY",155,0.615,"FEMALE",2019,22,298,213,26,1672,1084,1222,47,75,282,1338
180300,"GENESEE",39,14.5,55,20.4,94,34.9,"ELEMENTARY",169,0.628,"MALE",2019,22,298,213,26,1672,1084,1222,47,75,282,1338
180300,"GENESEE",37,26.2,34,24.1,71,50.4,"MIDDLE/HIGH",70,0.496,"FEMALE",2019,22,298,213,26,1672,1084,1222,47,75,282,1338
180300,"GENESEE",32,17.5,40,21.9,72,39.3,"MIDDLE/HIGH",106,0.579,"MALE",2019,22,298,213,26,1672,1084,1222,47,75,282,1338
190301,"GREENE",25,23.1,22,20.4,47,43.5,"ELEMENTARY",61,0.565,"FEMALE",2019,9,22,104,3,983,591,614,11,84,215,615
190301,"GREENE",25,19.1,32,24.4,57,43.5,"ELEMENTARY",74,0.565,"MALE",2019,9,22,104,3,983,591,614,11,84,215,615
190301,"GREENE",11,16.7,20,30.3,31,47,"MIDDLE/HIGH",35,0.53,"FEMALE",2019,9,22,104,3,983,591,614,11,84,215,615
190301,"GREENE",11,17.7,19,30.6,30,48.4,"MIDDLE/HIGH",32,0.516,"MALE",2019,9,22,104,3,983,591,614,11,84,215,615
190501,"GREENE",24,18.6,19,14.7,43,33.3,"ELEMENTARY",79,0.612,"FEMALE",2019,9,35,96,1,1059,568,683,9,51,154,475
190501,"GREENE",36,25,31,21.5,67,46.5,"ELEMENTARY",77,0.535,"MALE",2019,9,35,96,1,1059,568,683,9,51,154,475
190501,"GREENE",20,20.8,25,26,45,46.9,"MIDDLE/HIGH",51,0.531,"FEMALE",2019,9,35,96,1,1059,568,683,9,51,154,475
190501,"GREENE",19,20,21,22.1,40,42.1,"MIDDLE/HIGH",55,0.579,"MALE",2019,9,35,96,1,1059,568,683,9,51,154,475
220101,"JEFFERSON",34,15.6,34,15.6,68,31.2,"ELEMENTARY",150,0.688,"FEMALE",2019,11,14,34,4,1787,946,948,4,44,333,944
220101,"JEFFERSON",44,21.9,39,19.4,83,41.3,"ELEMENTARY",118,0.587,"MALE",2019,11,14,34,4,1787,946,948,4,44,333,944
220101,"JEFFERSON",20,18.7,23,21.5,43,40.2,"MIDDLE/HIGH",64,0.598,"FEMALE",2019,11,14,34,4,1787,946,948,4,44,333,944
220101,"JEFFERSON",18,13.8,34,26.2,52,40,"MIDDLE/HIGH",78,0.6,"MALE",2019,11,14,34,4,1787,946,948,4,44,333,944
220301,"JEFFERSON",73,14.2,84,16.3,157,30.5,"ELEMENTARY",338,0.656,"FEMALE",2019,101,280,600,16,2441,1845,1872,96,279,533,1910
220301,"JEFFERSON",84,14.8,98,17.3,182,32.1,"ELEMENTARY",357,0.63,"MALE",2019,101,280,600,16,2441,1845,1872,96,279,533,1910
220301,"JEFFERSON",51,22,38,16.4,89,38.4,"MIDDLE/HIGH",138,0.595,"FEMALE",2019,101,280,600,16,2441,1845,1872,96,279,533,1910
220301,"JEFFERSON",42,18.4,50,21.9,92,40.4,"MIDDLE/HIGH",127,0.557,"MALE",2019,101,280,600,16,2441,1845,1872,96,279,533,1910
220701,"JEFFERSON",12,16.2,14,18.9,26,35.1,"ELEMENTARY",48,0.649,"FEMALE",2019,3,6,29,5,794,442,425,1,30,108,412
220701,"JEFFERSON",9,11.5,17,21.8,26,33.3,"ELEMENTARY",47,0.603,"MALE",2019,3,6,29,5,794,442,425,1,30,108,412
220701,"JEFFERSON",17,23.6,16,22.2,33,45.8,"MIDDLE/HIGH",39,0.542,"FEMALE",2019,3,6,29,5,794,442,425,1,30,108,412
220701,"JEFFERSON",9,18,14,28,23,46,"MIDDLE/HIGH",27,0.54,"MALE",2019,3,6,29,5,794,442,425,1,30,108,412
222201,"JEFFERSON",32,11.6,45,16.3,77,27.9,"ELEMENTARY",188,0.681,"FEMALE",2019,49,155,357,14,2374,1532,1659,40,242,542,1636
222201,"JEFFERSON",47,13.7,59,17.2,106,30.9,"ELEMENTARY",223,0.65,"MALE",2019,49,155,357,14,2374,1532,1659,40,242,542,1636
222201,"JEFFERSON",36,21.7,41,24.7,77,46.4,"MIDDLE/HIGH",89,0.536,"FEMALE",2019,49,155,357,14,2374,1532,1659,40,242,542,1636
222201,"JEFFERSON",45,18.8,63,26.4,108,45.2,"MIDDLE/HIGH",131,0.548,"MALE",2019,49,155,357,14,2374,1532,1659,40,242,542,1636
240401,"LIVINGSTON",9,14.5,12,19.4,21,33.9,"ELEMENTARY",41,0.661,"FEMALE",2019,17,10,89,2,719,421,452,35,36,120,339
240401,"LIVINGSTON",9,10.5,12,14,21,24.4,"ELEMENTARY",65,0.756,"MALE",2019,17,10,89,2,719,421,452,35,36,120,339
240401,"LIVINGSTON",13,22,9,15.3,22,37.3,"MIDDLE/HIGH",37,0.627,"FEMALE",2019,17,10,89,2,719,421,452,35,36,120,339
240401,"LIVINGSTON",10,15.9,12,19,22,34.9,"MIDDLE/HIGH",41,0.651,"MALE",2019,17,10,89,2,719,421,452,35,36,120,339
250901,"MADISON",28,19,29,19.7,57,38.8,"ELEMENTARY",85,0.578,"FEMALE",2019,9,13,40,7,1164,641,652,7,60,188,682
250901,"MADISON",28,19.9,30,21.3,58,41.1,"ELEMENTARY",83,0.589,"MALE",2019,9,13,40,7,1164,641,652,7,60,188,682
250901,"MADISON",21,28.8,18,24.7,39,53.4,"MIDDLE/HIGH",34,0.466,"FEMALE",2019,9,13,40,7,1164,641,652,7,60,188,682
250901,"MADISON",11,16.2,22,32.4,33,48.5,"MIDDLE/HIGH",35,0.515,"MALE",2019,9,13,40,7,1164,641,652,7,60,188,682
251601,"MADISON",21,13.8,25,16.4,46,30.3,"ELEMENTARY",106,0.697,"FEMALE",2019,16,11,59,3,1745,933,971,3,70,295,755
251601,"MADISON",21,11.2,41,21.8,62,33,"ELEMENTARY",126,0.67,"MALE",2019,16,11,59,3,1745,933,971,3,70,295,755
251601,"MADISON",25,19.1,34,26,59,45,"MIDDLE/HIGH",72,0.55,"FEMALE",2019,16,11,59,3,1745,933,971,3,70,295,755
251601,"MADISON",31,20.3,35,22.9,66,43.1,"MIDDLE/HIGH",82,0.536,"MALE",2019,16,11,59,3,1745,933,971,3,70,295,755
260101,"MONROE",43,13.2,28,8.6,71,21.8,"ELEMENTARY",239,0.735,"FEMALE",2019,385,238,232,1,2395,1751,1767,151,267,405,687
260101,"MONROE",54,14.9,34,9.4,88,24.2,"ELEMENTARY",262,0.722,"MALE",2019,385,238,232,1,2395,1751,1767,151,267,405,687
260101,"MONROE",50,20.5,27,11.1,77,31.6,"MIDDLE/HIGH",156,0.639,"FEMALE",2019,385,238,232,1,2395,1751,1767,151,267,405,687
260101,"MONROE",26,12.7,25,12.3,51,25,"MIDDLE/HIGH",153,0.75,"MALE",2019,385,238,232,1,2395,1751,1767,151,267,405,687
260801,"MONROE",72,17.9,68,16.9,140,34.8,"ELEMENTARY",252,0.627,"FEMALE",2019,72,636,744,5,1367,1510,1534,121,220,314,1841
260801,"MONROE",69,16.4,86,20.4,155,36.8,"ELEMENTARY",251,0.596,"MALE",2019,72,636,744,5,1367,1510,1534,121,220,314,1841
260801,"MONROE",48,20.3,51,21.5,99,41.8,"MIDDLE/HIGH",128,0.54,"FEMALE",2019,72,636,744,5,1367,1510,1534,121,220,314,1841
260801,"MONROE",44,17.5,67,26.7,111,44.2,"MIDDLE/HIGH",140,0.558,"MALE",2019,72,636,744,5,1367,1510,1534,121,220,314,1841
260803,"MONROE",66,18.7,51,14.4,117,33.1,"ELEMENTARY",218,0.618,"FEMALE",2019,114,340,448,9,2537,1733,1883,79,168,384,1272
260803,"MONROE",77,18.1,63,14.8,140,32.9,"ELEMENTARY",277,0.652,"MALE",2019,114,340,448,9,2537,1733,1883,79,168,384,1272
260803,"MONROE",45,17.2,29,11.1,74,28.2,"MIDDLE/HIGH",183,0.698,"FEMALE",2019,114,340,448,9,2537,1733,1883,79,168,384,1272
260803,"MONROE",49,19.5,34,13.5,83,33.1,"MIDDLE/HIGH",162,0.645,"MALE",2019,114,340,448,9,2537,1733,1883,79,168,384,1272
261101,"MONROE",85,19.9,58,13.6,143,33.5,"ELEMENTARY",272,0.637,"FEMALE",2019,47,94,254,6,3885,2140,2270,24,124,487,1206
261101,"MONROE",78,16.6,56,11.9,134,28.5,"ELEMENTARY",321,0.682,"MALE",2019,47,94,254,6,3885,2140,2270,24,124,487,1206
261101,"MONROE",50,16.1,58,18.6,108,34.7,"MIDDLE/HIGH",203,0.653,"FEMALE",2019,47,94,254,6,3885,2140,2270,24,124,487,1206
261101,"MONROE",54,17.4,64,20.6,118,38.1,"MIDDLE/HIGH",179,0.577,"MALE",2019,47,94,254,6,3885,2140,2270,24,124,487,1206
261313,"MONROE",19,15.7,21,17.4,40,33.1,"ELEMENTARY",81,0.669,"FEMALE",2019,4,74,132,4,732,490,517,10,61,179,521
261313,"MONROE",12,8.9,24,17.8,36,26.7,"ELEMENTARY",99,0.733,"MALE",2019,4,74,132,4,732,490,517,10,61,179,521
261313,"MONROE",15,20.8,18,25,33,45.8,"MIDDLE/HIGH",39,0.542,"FEMALE",2019,4,74,132,4,732,490,517,10,61,179,521
261313,"MONROE",10,13.7,20,27.4,30,41.1,"MIDDLE/HIGH",43,0.589,"MALE",2019,4,74,132,4,732,490,517,10,61,179,521
261501,"MONROE",64,15.9,56,13.9,120,29.9,"ELEMENTARY",272,0.677,"FEMALE",2019,81,301,261,9,2886,1809,1944,56,215,389,1205
261501,"MONROE",103,22.5,75,16.4,178,38.9,"ELEMENTARY",273,0.596,"MALE",2019,81,301,261,9,2886,1809,1944,56,215,389,1205
261501,"MONROE",64,21.7,50,16.9,114,38.6,"MIDDLE/HIGH",174,0.59,"FEMALE",2019,81,301,261,9,2886,1809,1944,56,215,389,1205
261501,"MONROE",53,16.5,59,18.3,112,34.8,"MIDDLE/HIGH",200,0.621,"MALE",2019,81,301,261,9,2886,1809,1944,56,215,389,1205
261701,"MONROE",82,14.7,76,13.7,158,28.4,"ELEMENTARY",374,0.673,"FEMALE",2019,834,752,440,10,3220,2760,2843,354,347,540,2382
261701,"MONROE",81,13.7,97,16.4,178,30.2,"ELEMENTARY",390,0.661,"MALE",2019,834,752,440,10,3220,2760,2843,354,347,540,2382
261701,"MONROE",49,14.6,71,21.2,120,35.8,"MIDDLE/HIGH",209,0.624,"FEMALE",2019,834,752,440,10,3220,2760,2843,354,347,540,2382
261701,"MONROE",73,20.6,83,23.4,156,43.9,"MIDDLE/HIGH",191,0.538,"MALE",2019,834,752,440,10,3220,2760,2843,354,347,540,2382
261801,"MONROE",46,15.1,38,12.5,84,27.5,"ELEMENTARY",210,0.689,"FEMALE",2019,39,128,316,8,2635,1615,1693,41,182,482,1454
261801,"MONROE",45,14,57,17.8,102,31.8,"ELEMENTARY",211,0.657,"MALE",2019,39,128,316,8,2635,1615,1693,41,182,482,1454
261801,"MONROE",34,18.3,32,17.2,66,35.5,"MIDDLE/HIGH",115,0.618,"FEMALE",2019,39,128,316,8,2635,1615,1693,41,182,482,1454
261801,"MONROE",38,20.1,42,22.2,80,42.3,"MIDDLE/HIGH",109,0.577,"MALE",2019,39,128,316,8,2635,1615,1693,41,182,482,1454
261901,"MONROE",143,15.1,107,11.3,250,26.4,"ELEMENTARY",664,0.701,"FEMALE",2019,244,312,582,13,6880,4039,4283,165,291,766,1823
261901,"MONROE",118,12.5,128,13.5,246,26,"ELEMENTARY",664,0.702,"MALE",2019,244,312,582,13,6880,4039,4283,165,291,766,1823
261901,"MONROE",124,18.5,96,14.3,220,32.8,"MIDDLE/HIGH",431,0.642,"FEMALE",2019,244,312,582,13,6880,4039,4283,165,291,766,1823
261901,"MONROE",114,16.7,113,16.5,227,33.2,"MIDDLE/HIGH",429,0.628,"MALE",2019,244,312,582,13,6880,4039,4283,165,291,766,1823
270100,"MONTGOMERY",77,19.6,81,20.6,158,40.2,"ELEMENTARY",223,0.567,"FEMALE",2019,48,176,1885,16,1571,1905,1965,237,174,585,2616
270100,"MONTGOMERY",69,17.6,96,24.6,165,42.2,"ELEMENTARY",220,0.563,"MALE",2019,48,176,1885,16,1571,1905,1965,237,174,585,2616
270100,"MONTGOMERY",23,16.7,49,35.5,72,52.2,"MIDDLE/HIGH",66,0.478,"FEMALE",2019,48,176,1885,16,1571,1905,1965,237,174,585,2616
270100,"MONTGOMERY",27,14.9,45,24.9,72,39.8,"MIDDLE/HIGH",94,0.519,"MALE",2019,48,176,1885,16,1571,1905,1965,237,174,585,2616
280202,"NASSAU",177,20.6,198,23.1,375,43.7,"ELEMENTARY",451,0.526,"FEMALE",2019,90,2537,4274,4,105,3466,3590,1349,46,766,4340
280202,"NASSAU",137,17.2,215,26.9,352,44.1,"ELEMENTARY",420,0.526,"MALE",2019,90,2537,4274,4,105,3466,3590,1349,46,766,4340
280202,"NASSAU",113,24.5,89,19.3,202,43.7,"MIDDLE/HIGH",255,0.552,"FEMALE",2019,90,2537,4274,4,105,3466,3590,1349,46,766,4340
280202,"NASSAU",112,21.2,120,22.7,232,43.9,"MIDDLE/HIGH",277,0.525,"MALE",2019,90,2537,4274,4,105,3466,3590,1349,46,766,4340
280203,"NASSAU",81,13.9,64,11,145,24.8,"ELEMENTARY",425,0.728,"FEMALE",2019,1773,333,1575,5,3499,3598,3642,237,55,845,1771
280203,"NASSAU",90,16.3,67,12.1,157,28.4,"ELEMENTARY",380,0.687,"MALE",2019,1773,333,1575,5,3499,3598,3642,237,55,845,1771
280203,"NASSAU",107,21.7,63,12.8,170,34.4,"MIDDLE/HIGH",313,0.634,"FEMALE",2019,1773,333,1575,5,3499,3598,3642,237,55,845,1771
280203,"NASSAU",94,19.2,89,18.2,183,37.3,"MIDDLE/HIGH",295,0.602,"MALE",2019,1773,333,1575,5,3499,3598,3642,237,55,845,1771
280205,"NASSAU",96,13.3,61,8.4,157,21.7,"ELEMENTARY",511,0.708,"FEMALE",2019,843,104,1579,12,4598,3540,3701,188,105,835,1417
280205,"NASSAU",88,12.6,77,11,165,23.5,"ELEMENTARY",509,0.726,"MALE",2019,843,104,1579,12,4598,3540,3701,188,105,835,1417
280205,"NASSAU",81,19,45,10.5,126,29.5,"MIDDLE/HIGH",291,0.681,"FEMALE",2019,843,104,1579,12,4598,3540,3701,188,105,835,1417
280205,"NASSAU",74,16.1,76,16.5,150,32.6,"MIDDLE/HIGH",297,0.646,"MALE",2019,843,104,1579,12,4598,3540,3701,188,105,835,1417
280206,"NASSAU",27,16.9,18,11.3,45,28.1,"ELEMENTARY",115,0.719,"FEMALE",2019,54,18,178,1,1970,1103,1146,26,28,326,272
280206,"NASSAU",33,18.3,18,10,51,28.3,"ELEMENTARY",118,0.656,"MALE",2019,54,18,178,1,1970,1103,1146,26,28,326,272
280206,"NASSAU",24,16.2,27,18.2,51,34.5,"MIDDLE/HIGH",97,0.655,"FEMALE",2019,54,18,178,1,1970,1103,1146,26,28,326,272
280206,"NASSAU",27,14.2,40,21.1,67,35.3,"MIDDLE/HIGH",116,0.611,"MALE",2019,54,18,178,1,1970,1103,1146,26,28,326,272
280209,"NASSAU",171,22.3,157,20.4,328,42.7,"ELEMENTARY",421,0.548,"FEMALE",2019,62,1511,4952,29,394,3344,3724,1491,120,940,4250
280209,"NASSAU",181,19.8,244,26.6,425,46.4,"ELEMENTARY",478,0.522,"MALE",2019,62,1511,4952,29,394,3344,3724,1491,120,940,4250
280209,"NASSAU",98,25.7,63,16.5,161,42.1,"MIDDLE/HIGH",211,0.552,"FEMALE",2019,62,1511,4952,29,394,3344,3724,1491,120,940,4250
280209,"NASSAU",77,19.3,83,20.9,160,40.2,"MIDDLE/HIGH",217,0.545,"MALE",2019,62,1511,4952,29,394,3344,3724,1491,120,940,4250
280213,"NASSAU",26,11.5,27,11.9,53,23.3,"ELEMENTARY",163,0.718,"FEMALE",2019,455,412,565,13,465,914,1050,128,54,265,717
280213,"NASSAU",24,9.5,38,15,62,24.5,"ELEMENTARY",180,0.711,"MALE",2019,455,412,565,13,465,914,1050,128,54,265,717
280215,"NASSAU",52,17.2,49,16.2,101,33.4,"ELEMENTARY",189,0.626,"FEMALE",2019,114,435,1624,26,319,1200,1331,519,13,428,1913
280215,"NASSAU",48,16.6,69,23.9,117,40.5,"ELEMENTARY",156,0.54,"MALE",2019,114,435,1624,26,319,1200,1331,519,13,428,1913
280215,"NASSAU",22,18,28,23,50,41,"MIDDLE/HIGH",67,0.549,"FEMALE",2019,114,435,1624,26,319,1200,1331,519,13,428,1913
280215,"NASSAU",29,25.4,32,28.1,61,53.5,"MIDDLE/HIGH",48,0.421,"MALE",2019,114,435,1624,26,319,1200,1331,519,13,428,1913
280221,"NASSAU",55,15,33,9,88,24,"ELEMENTARY",263,0.717,"FEMALE",2019,85,224,525,1,2632,1725,1856,45,114,478,514
280221,"NASSAU",65,16.1,43,10.6,108,26.7,"ELEMENTARY",282,0.698,"MALE",2019,85,224,525,1,2632,1725,1856,45,114,478,514
280221,"NASSAU",36,14,19,7.4,55,21.4,"MIDDLE/HIGH",190,0.739,"FEMALE",2019,85,224,525,1,2632,1725,1856,45,114,478,514
280221,"NASSAU",40,14,35,12.3,75,26.3,"MIDDLE/HIGH",210,0.737,"MALE",2019,85,224,525,1,2632,1725,1856,45,114,478,514
280222,"NASSAU",32,13.7,35,15,67,28.6,"ELEMENTARY",158,0.675,"FEMALE",2019,274,45,257,3,862,726,753,33,38,222,220
280222,"NASSAU",59,11.9,78,15.8,137,27.7,"ELEMENTARY",341,0.689,"MALE",2019,274,45,257,3,862,726,753,33,38,222,220
280227,"NASSAU",27,15.4,42,24,69,39.4,"ELEMENTARY",106,0.606,"FEMALE",2019,124,369,813,3,403,829,932,183,49,317,896
280227,"NASSAU",32,20.5,38,24.4,70,44.9,"ELEMENTARY",86,0.551,"MALE",2019,124,369,813,3,403,829,932,183,49,317,896
280227,"NASSAU",28,19.9,38,27,66,46.8,"MIDDLE/HIGH",70,0.496,"FEMALE",2019,124,369,813,3,403,829,932,183,49,317,896
280227,"NASSAU",22,15.2,28,19.3,50,34.5,"MIDDLE/HIGH",95,0.655,"MALE",2019,124,369,813,3,403,829,932,183,49,317,896
